name,provider,website_url,categories,status,last_verified,data_pricing_confidence,consumer_free_app,api_free_tier,runs_locally,data_retention,input_usd_per_m,output_usd_per_m,pricing_unit,price_low_usd,price_high_usd,context_window,privacy_label,price_label,ease_label,why_this_one,quality_score,ease_score,value_score,needs_review,review_notes
ChatGPT,OpenAI,https://chatgpt.com,"chat-assistant,write-things,summarize,code",live,2026-06-03,medium,yes,no,no,optional,2.5,10,per 1M tokens,,,128000,you can turn off chat history & training,free tier; Plus is ~$20/mo,just open it and type,The default for most people. Strong all-rounder for writing chatting and quick answers with a generous free tier.,9,10,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Claude,Anthropic,https://claude.ai,"chat-assistant,write-things,summarize,code",live,2026-06-03,medium,yes,no,no,optional,3,15,per 1M tokens,,,200000,doesn't train on your chats by default,free tier; Pro is ~$20/mo,just open it and type,Especially good at longer writing careful reasoning and working through big documents in one go.,9,9,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Google Gemini,Google,https://gemini.google.com,"chat-assistant,write-things,research,summarize",live,2026-06-03,medium,yes,yes,no,optional,1.25,5,per 1M tokens,,,1000000,review activity settings to limit data use,free tier; Advanced via Google One,just open it and type,Handy if you live in Gmail Docs and Android. Huge context window for very long inputs.,8,9,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Microsoft Copilot,Microsoft,https://copilot.microsoft.com,"chat-assistant,write-things,summarize",live,2026-06-03,low,yes,no,no,optional,,,,,,,enterprise data protections on work accounts,free; Pro is ~$20/mo,built into Windows and Office,Convenient if you already use Windows and Microsoft 365 — it sits right inside the apps you have.,7,9,7,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Perplexity,Perplexity AI,https://perplexity.ai,"research,chat-assistant,summarize",live,2026-06-03,low,yes,no,no,optional,,,,,,,can opt out of data used for training,free; Pro is ~$20/mo,works like a smarter search engine,Best when you want answers with sources cited — it searches the live web and shows where facts came from.,8,9,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
GitHub Copilot,GitHub,https://github.com/features/copilot,code,live,2026-06-03,medium,yes,no,no,optional,,,,,,,code suggestions not retained on paid tiers,free tier; Pro is ~$10/mo,installs into your code editor,The most established coding helper — autocompletes code right inside VS Code and other editors.,8,7,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Cursor,Anysphere,https://cursor.com,code,live,2026-06-03,low,yes,no,no,optional,,,,,,,privacy mode keeps code off their servers,free tier; Pro is ~$20/mo,a full code editor — some setup,An AI-first code editor that understands your whole project. A favourite of serious developers.,9,6,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Whisper,OpenAI,https://github.com/openai/whisper,audio-to-text,live,2026-06-03,high,no,yes,yes,none,,,,,,,runs on your own machine — nothing leaves it,free and open source,a bit techy: needs the command line,Open-source transcription you can run entirely offline. Nothing is uploaded — ideal for sensitive interviews.,9,3,10,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
MacWhisper,Good Snooze,https://goodsnooze.gumroad.com/l/macwhisper,audio-to-text,live,2026-06-03,low,yes,no,yes,none,,,,,,,transcribes locally on your Mac,free tier; Pro is a one-off ~$60,friendly app — drag in a file,Whisper's accuracy wrapped in a simple Mac app. Local transcription without touching the command line.,8,9,9,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Otter.ai,Otter.ai,https://otter.ai,"audio-to-text,summarize",live,2026-06-03,low,yes,no,no,yes,,,,,,,stores your recordings on their servers,free tier; Pro is ~$17/mo,polished app — records meetings live,Great for live meeting notes and speaker labels. Note it keeps your recordings in the cloud.,7,9,7,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Llama,Meta,https://llama.com,"chat-assistant,write-things,code",live,2026-06-03,high,no,yes,yes,none,,,,,,128000,open weights — run it fully offline,free and open source,needs a runner like Ollama to use,Meta's open model family. The backbone of most local-AI setups when you want full control and privacy.,8,4,10,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Mistral Le Chat,Mistral AI,https://chat.mistral.ai,"chat-assistant,write-things,code",live,2026-06-03,medium,yes,no,no,optional,2,6,per 1M tokens,,,128000,EU-based with opt-out of training,generous free tier; Pro ~$15/mo,just open it and type,A fast capable European option. Many of its models are also open-weight if you want to self-host later.,7,9,9,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
DeepSeek,DeepSeek,https://deepseek.com,"chat-assistant,code,write-things",live,2026-06-03,low,yes,no,no,yes,0.27,1.1,per 1M tokens,,,128000,data stored on servers in China,free app; very cheap API,just open it and type,Strong reasoning and coding at a remarkably low price. Check the data policy before sensitive use.,8,8,9,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Ollama,Ollama,https://ollama.com,"chat-assistant,code,write-things",live,2026-06-03,high,yes,yes,yes,none,,,,,,,everything runs and stays on your computer,free and open source,a bit techy to set up,The easiest way to download and run open models locally. Free private and offline once it's set up.,8,5,10,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
LM Studio,LM Studio,https://lmstudio.ai,"chat-assistant,write-things,code",live,2026-06-03,high,yes,yes,yes,none,,,,,,,models run locally — nothing uploaded,free for personal use,friendly app for running local models,A point-and-click app for running open models on your own machine — local AI without the terminal.,7,7,9,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
NotebookLM,Google,https://notebooklm.google.com,"research,summarize",live,2026-06-03,low,yes,no,no,optional,,,,,,,says it doesn't train on your uploads,free,upload your docs and ask away,Point it at your own documents and it answers only from them with citations. Excellent for research and study.,8,9,9,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
DeepL,DeepL,https://deepl.com,translate,live,2026-06-03,medium,yes,yes,no,optional,,,,,,,Pro deletes text after translating,free tier; Pro from ~$9/mo,paste text and pick a language,Widely considered the most natural-sounding translator — noticeably better than the free generic ones.,9,10,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Grammarly,Grammarly,https://grammarly.com,write-things,live,2026-06-03,low,yes,no,no,yes,,,,,,,processes your text on their servers,free tier; Premium from ~$12/mo,works everywhere you type,Catches grammar and tone issues as you write across email docs and the web. The gentle everyday writing helper.,7,10,7,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Poe,Quora,https://poe.com,"chat-assistant,write-things",live,2026-06-03,low,yes,no,no,optional,,,,,,,depends on the underlying model you pick,free tier; Pro is ~$20/mo,one app many AI models,Lets you try many different AI models in one place — useful when you're not sure which one suits you.,7,9,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
DeepGram,Deepgram,https://deepgram.com,audio-to-text,live,2026-06-03,medium,no,yes,no,optional,,,per audio hour,0.26,0.46,,can request no data retention on paid plans,free credits; then ~$0.26+/audio hour,developer API — needs coding,Fast accurate transcription built for developers. Reach for this when you're wiring transcription into an app.,8,3,8,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Cohere Command,Cohere,https://cohere.com,"write-things,summarize,code",live,2026-06-03,low,no,yes,no,optional,0.5,1.5,per 1M tokens,,,128000,business-focused with opt-out controls,free trial key; usage-based API,developer API — needs coding,A business-oriented text model with strong search and retrieval features. Aimed at developers and teams.,7,4,7,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
Jasper,Jasper,https://jasper.ai,write-things,live,2026-06-03,low,no,no,no,yes,,,,39,59,,stores content on their platform,paid only — from ~$39/mo,templates for marketing copy,"Built for marketing teams: on-brand campaigns blog posts and ads with templates. Paid only, no free tier.",7,8,5,yes,[auto 2026-06-11] PROPOSED: auto-check failed — left unchanged.
